model,nb_neurones_per_layers,nb_layers,future_temporal_horizon,activation,batchsize,future_delay,smoothing,subsampling_dt,state_configuration,data,data_dt,learning_rate,nb_collocations,seed,transfer_learning,train_on_collocation,ensemble_collocation,early_stopping,nb_epochs,training_name,pretrained_idx,status,training_idx
mlp,16,4,0.5,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,115
mlp,16,4,0.5,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,116
mlp,16,4,0.5,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,117
mlp,16,4,0.5,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,118
mlp,16,4,0.5,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,119
mlp,24,4,0.5,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,120
mlp,24,4,0.5,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,121
mlp,24,4,0.5,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,122
mlp,24,4,0.5,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,123
mlp,24,4,0.5,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,124
mlp,24,4,0.5,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,125
mlp,24,4,0.5,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,126
mlp,24,4,0.5,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,127
mlp,24,4,0.5,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,128
mlp,24,4,0.5,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,129
mlp,24,4,0.5,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,130
mlp,24,4,0.5,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,131
mlp,24,4,0.5,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,132
mlp,24,4,0.5,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,133
mlp,24,4,0.5,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,134
mlp,8,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,135
mlp,8,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,136
mlp,8,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,137
mlp,8,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,138
mlp,8,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,139
mlp,8,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,140
mlp,8,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,141
mlp,8,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,142
mlp,8,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,143
mlp,8,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,144
mlp,8,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,145
mlp,8,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,146
mlp,8,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,147
mlp,8,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,148
mlp,8,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,149
mlp,16,4,0.05,tanh,512,0.05,0.,0.05,dof2,february_2024,0.005,0.001,0,43,0,0,0,1,1500,training_data_based_dof2,,,150
